Model,Seed,Accuracy,Precision,Recall,F1 Score,Fit Time,Prediction Time,Status,Error Message
CombinedClassifier,42,0.7207792207792207,0.7102987102987104,0.7207792207792207,0.7056353784464383,1.157954875001451,0.008062084001721814,success,
GaussianNB,42,0.7077922077922078,0.7178798638343852,0.7077922077922078,0.7113863833845812,0.0007617910014232621,0.00041370799590367824,success,
KFCClassifier,42,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.981626792010502,0.0030330410081660375,success,
KNeighborsClassifier,42,0.6688311688311688,0.6622493153105398,0.6688311688311688,0.6648317346872876,0.0006167500105220824,0.0008599589928053319,success,
Logistic Regression,42,0.7142857142857143,0.7064642282033586,0.7142857142857143,0.7083516483516483,0.005961125003523193,0.0005987080076010898,success,
Random Forest Classifier,42,0.7727272727272727,0.7676396997497915,0.7727272727272727,0.7672901261418008,0.057914250006433576,0.003228792003937997,success,
SVC,42,0.7207792207792207,0.7106187929717341,0.7207792207792207,0.7030870724883347,0.014080790992011316,0.0017727910017129034,success,
CombinedClassifier,52,0.7987012987012987,0.7982017982017982,0.7987012987012987,0.7894895801872546,0.8640689169988036,0.007102167000994086,success,
GaussianNB,52,0.7467532467532467,0.7410499621674805,0.7467532467532467,0.7422593190996118,0.0006276659987634048,0.0002479999966453761,success,
KFCClassifier,52,0.7922077922077922,0.8015022886949117,0.7922077922077922,0.7759257294141015,0.8697421660035616,0.0036924590094713494,success,
KNeighborsClassifier,52,0.6883116883116883,0.685750523985818,0.6883116883116883,0.6869142439850454,0.0006602500070584938,0.0008475840004393831,success,
Logistic Regression,52,0.8181818181818182,0.8190191387559809,0.8181818181818182,0.810589490048627,0.006110667003667913,0.0004384579951874912,success,
Random Forest Classifier,52,0.7337662337662337,0.7251114954546856,0.7337662337662337,0.7236747438378277,0.05717654099862557,0.0033772500028135255,success,
SVC,52,0.7857142857142857,0.7956239931062905,0.7857142857142857,0.7677732976598711,0.01445975000387989,0.0018364580027991906,success,
CombinedClassifier,62,0.6883116883116883,0.6757182211727666,0.6883116883116883,0.6441888420109836,0.873810749995755,0.0068044580111745745,success,
GaussianNB,62,0.7077922077922078,0.6952716952716953,0.7077922077922078,0.6919440006997611,0.0006217499903868884,0.0004192080086795613,success,
KFCClassifier,62,0.6818181818181818,0.6687931951089846,0.6818181818181818,0.6292361092710844,0.8700671249971492,0.0038635409873677418,success,
KNeighborsClassifier,62,0.6688311688311688,0.6518264344351301,0.6688311688311688,0.6536764061145157,0.0006011250079609454,0.0007704579911660403,success,
Logistic Regression,62,0.7142857142857143,0.7050691244239631,0.7142857142857143,0.6887755102040816,0.0059741250006482005,0.0004064169916091487,success,
Random Forest Classifier,62,0.6948051948051948,0.6794032413867125,0.6948051948051948,0.672471544682498,0.05377629199938383,0.0032464169926242903,success,
SVC,62,0.7012987012987013,0.6892393320964749,0.7012987012987013,0.6711255504693882,0.014503375001368113,0.0022614170011365786,success,
CombinedClassifier,72,0.7727272727272727,0.7675942327105117,0.7727272727272727,0.7657648454052421,0.8938158329983708,0.007202624998171814,success,
GaussianNB,72,0.7727272727272727,0.771801708472734,0.7727272727272727,0.7722306056801803,0.0005443339905468747,0.0006160000048112124,success,
KFCClassifier,72,0.7662337662337663,0.7637574290116663,0.7662337662337663,0.7525080424162993,0.852531334006926,0.0035210409987485036,success,
KNeighborsClassifier,72,0.7402597402597403,0.7364035964035964,0.7402597402597403,0.7378112083994437,0.0005548750050365925,0.0007444160000886768,success,
Logistic Regression,72,0.7662337662337663,0.7606679035250463,0.7662337662337663,0.7582394021073267,0.005834458002937026,0.00043466599890962243,success,
Random Forest Classifier,72,0.7792207792207793,0.7744982290436836,0.7792207792207793,0.7732131813764467,0.053708000006736256,0.003892917011398822,success,
SVC,72,0.7662337662337663,0.7637574290116663,0.7662337662337663,0.7525080424162993,0.014170499998726882,0.0020503749983618036,success,
CombinedClassifier,82,0.7857142857142857,0.7913491467210476,0.7857142857142857,0.7700332122238815,0.8885599589993944,0.007480666012270376,success,
GaussianNB,82,0.7987012987012987,0.7951672507250156,0.7987012987012987,0.7951292023612299,0.0005505839944817126,0.00024316700000781566,success,
KFCClassifier,82,0.7727272727272727,0.7836990595611285,0.7727272727272727,0.7511257149811367,0.8125617090117885,0.0030207080126274377,success,
KNeighborsClassifier,82,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.0007561669917777181,0.0009286669956054538,success,
Logistic Regression,82,0.8116883116883117,0.8109048301148453,0.8116883116883117,0.8045504285682196,0.005410041005234234,0.0003268750006100163,success,
Random Forest Classifier,82,0.8116883116883117,0.8086965728643996,0.8116883116883117,0.8083466731766346,0.05555525000090711,0.004016541002783924,success,
SVC,82,0.8051948051948052,0.813152533740769,0.8051948051948052,0.7919126328217236,0.015680834010709077,0.0018877080001402646,success,
